C�c th�ng (th�ng tr??c = 100),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Th�ng 1,103.8,100.9,100.8,101.6,101.7,100.4,100.3,101.1,100.9,101.1,101.1,101.2,101.1,102.38,100.32,101.36,101.74,101,101.25,100.69,99.8,100,100.46,100.51,100.1,101.23,100.06,100.19,100.52,100.31
Th�ng 2,103.4,102.5,101.8,102.2,101.9,101.6,100.4,102.2,102.2,103,102.5,102.1,102.2,103.56,101.17,101.96,102.09,101.37,101.32,100.55,99.95,100.42,100.23,100.73,100.8,99.83,101.52,101,100.45,101.04
Th�ng 3,100.2,100.8,99.5,99.2,99.3,98.9,99.3,99.2,99.4,100.8,100.1,99.5,99.8,102.99,99.83,100.75,102.17,100.16,99.81,99.56,100.15,100.57,100.21,99.73,99.79,99.28,99.73,100.7,99.77,99.77
Th�ng 4,101,100.1,99.4,101.6,99.4,99.3,99.5,100,100,100.5,100.6,100.2,100.5,102.2,100.35,100.14,103.32,100.05,100.02,100.08,100.14,100.33,100,100.08,100.31,98.46,99.96,100.18,99.66,100.07
Th�ng 5,101.8,99.5,99.5,101.4,99.6,99.4,99.8,100.3,99.9,100.9,100.5,100.6,100.8,103.91,100.44,100.27,102.21,100.18,99.94,100.2,100.16,100.54,99.47,100.55,100.49,99.97,100.16,100.38,100.01,100.05
Th�ng 6,100.8,99.5,100.1,100,99.7,99.5,100,100.1,99.7,100.8,100.4,100.4,100.9,102.14,100.55,100.22,101.09,99.74,100.05,100.3,100.35,100.46,99.83,100.61,99.91,100.66,100.19,100.69,100.27,100.17
Th�ng 7,100,99.3,100.2,99.5,99.6,99.4,99.8,99.9,99.7,100.5,100.4,100.4,100.9,101.13,100.52,100.06,101.17,99.71,100.27,100.23,100.13,100.13,100.11,99.91,100.18,100.4,100.62,100.4,100.45,100.48
Th�ng 8,100.3,99.6,100.1,101.1,99.6,100.1,100,100.1,99.9,100.6,100.4,100.4,100.6,101.56,100.24,100.23,100.93,100.63,100.83,100.22,99.93,100.1,100.92,100.45,100.28,100.07,100.25,100,100.88,100
Th�ng 9,100.5,100.3,100.6,101,99.4,99.8,100.5,100.2,100.1,100.3,100.8,100.3,100.5,100.18,100.62,101.31,100.82,102.2,101.06,100.4,99.79,100.54,100.59,100.59,100.32,100.12,99.38,100.4,101.08,100.29
Th�ng 10,100.1,100.1,100.3,100.3,99,100.1,100,100.3,99.8,100,100.4,100.2,100.7,99.81,100.37,101.05,100.36,100.85,100.49,100.11,100.11,100.83,100.41,100.33,100.59,100.09,99.8,100.15,100.08,100.33
Th�ng 11,100.1,100.9,100.3,100.1,100.4,100.9,100.2,100.3,100.6,100.2,100.4,100.6,101.2,99.24,100.55,101.86,100.39,100.47,100.34,99.73,100.07,100.48,100.13,99.71,100.96,99.99,100.32,100.39,100.25,100.13
Th�ng 12,100.3,101,101,100.8,100.5,100.1,101,100.3,100.8,100.6,100.8,100.5,102.9,99.32,101.38,101.98,100.53,100.27,100.51,99.76,100.02,100.23,100.21,99.75,101.4,100.1,99.82,99.99,100.12,100.29
B�nh qu�n th�ng,101,100.4,100.3,100.7,100,100,100.1,100.3,100.2,100.8,100.7,100.5,101,101.54,100.53,100.93,101.4,100.55,100.49,100.15,100.05,100.39,100.21,100.25,100.43,100.02,100.15,100.37,100.29,100.24
Th�ng 12 nam b�o c�o so v?i th�ng 12 nam tru?c,112.7,104.5,103.6,109.2,100.1,99.4,100.8,104,103,109.5,108.4,106.6,112.6,119.89,106.52,111.75,118.13,106.81,106.04,101.84,100.6,104.74,102.6,102.98,105.23,100.19,101.81,104.55,103.58,102.94
Nam tr??c =100,..,..,..,..,..,98.4,..,103.9,103.1,107.8,108.3,107.5,108.3,122.97,106.88,109.19,118.58,109.21,106.6,104.09,100.63,102.66,103.53,103.54,102.79,103.23,101.84,103.15,103.25,103.63
Nam 2000 = 100 (*),..,..,..,..,..,100,..,104.3,107.6,115.9,125.5,134.9,146.3,179.64,192,209.64,248.6,271.49,287.37,299.12,301.01,309.02,319.92,331.23,340.48,351.47,357.92,369.19,381.2,395.03
Nam 2005 = 100 (*),..,..,..,..,..,..,..,..,..,..,100,105.74,114.51,140.81,150.49,164.32,194.84,212.79,230.6,240.04,241.56,247.98,256.73,265.81,273.23,282.05,287.23,296.27,305.91,317
Nam 2010 = 100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,118.58,129.49,138.05,143.69,144.6,148.44,153.68,159.11,163.56,168.83,171.93,177.35,183.12,189.76
