Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
20/03/2026,"3,820.87","3,812.72","3,824.41","3,812.59",,0.29%
19/03/2026,"3,809.90","3,824.66","3,828.29","3,809.04",,-0.47%
18/03/2026,"3,828.08","3,820.76","3,829.38","3,817.13",,0.24%
17/03/2026,"3,818.87","3,811.48","3,821.77","3,810.17",,0.17%
16/03/2026,"3,812.27","3,812.17","3,814.88","3,802.04",,-0.01%
13/03/2026,"3,812.60","3,818.60","3,822.31","3,808.46",,-0.33%
12/03/2026,"3,825.19","3,817.76","3,826.50","3,810.05",,0.06%
11/03/2026,"3,823.04","3,823.51","3,828.98","3,815.44",,0.22%
10/03/2026,"3,814.78","3,812.48","3,821.49","3,803.85",,0.28%
09/03/2026,"3,804.31","3,809.28","3,809.28","3,787.88",,0.00%
06/03/2026,"3,804.28","3,792.87","3,809.08","3,791.65",,0.01%
05/03/2026,"3,803.99","3,799.58","3,812.11","3,796.27",,0.07%
04/03/2026,"3,801.46","3,783.37","3,802.26","3,781.73",,0.12%
03/03/2026,"3,797.02","3,803.44","3,811.65","3,791.78",,-0.12%
02/03/2026,"3,801.65","3,797.13","3,814.96","3,791.33",,0.11%
27/02/2026,"3,797.65","3,809.17","3,809.17","3,789.69",,-0.36%
26/02/2026,"3,811.44","3,808.79","3,824.68","3,805.13",,0.31%
25/02/2026,"3,799.73","3,807.44","3,813.52","3,797.49",,-0.14%
24/02/2026,"3,805.23","3,786.22","3,810.79","3,784.49",,0.65%
23/02/2026,"3,780.76","3,759.05","3,781.78","3,755.95",,0.58%
20/02/2026,"3,759.06","3,759.06","3,759.06","3,759.06",,0.00%
19/02/2026,"3,759.06","3,759.06","3,759.06","3,759.06",,0.00%
18/02/2026,"3,759.06","3,759.06","3,759.06","3,759.06",,0.00%
17/02/2026,"3,759.06","3,759.06","3,759.06","3,759.06",,0.00%
16/02/2026,"3,759.06","3,759.06","3,759.06","3,759.06",,0.00%
13/02/2026,"3,759.06","3,760.39","3,766.28","3,751.45",,-0.07%
12/02/2026,"3,761.72","3,750.41","3,770.86","3,750.41",,0.02%
11/02/2026,"3,760.90","3,745.04","3,766.22","3,741.17",,0.41%
10/02/2026,"3,745.48","3,741.33","3,752.60","3,739.03",,0.07%
09/02/2026,"3,742.84","3,740.99","3,749.69","3,737.02",,0.08%
06/02/2026,"3,739.76","3,743.00","3,745.83","3,734.99",,-0.03%
05/02/2026,"3,740.91","3,742.14","3,745.91","3,731.99",,-0.05%
04/02/2026,"3,742.86","3,747.27","3,753.13","3,739.13",,-0.13%
03/02/2026,"3,747.64","3,746.42","3,752.23","3,744.18",,0.05%
02/02/2026,"3,745.77","3,729.06","3,750.50","3,724.83",,0.38%
30/01/2026,"3,731.44","3,743.68","3,746.48","3,724.29",,-0.28%
29/01/2026,"3,741.87","3,752.23","3,756.95","3,739.67",,-0.28%
28/01/2026,"3,752.30","3,753.20","3,762.84","3,749.13",,-0.15%
27/01/2026,"3,757.80","3,763.04","3,763.04","3,755.00",,-0.21%
26/01/2026,"3,765.63","3,767.56","3,774.91","3,761.00",,-0.09%
23/01/2026,"3,769.08","3,767.10","3,774.76","3,764.69",,0.05%
22/01/2026,"3,767.10","3,771.92","3,777.00","3,764.97",,-0.12%
21/01/2026,"3,771.60","3,773.01","3,775.09","3,767.71",,-0.04%
20/01/2026,"3,773.08","3,771.59","3,777.31","3,769.67",,0.04%
19/01/2026,"3,771.51","3,770.28","3,776.07","3,768.31",,0.03%
16/01/2026,"3,770.35","3,771.61","3,777.37","3,766.59",,-0.02%
15/01/2026,"3,770.96","3,768.86","3,773.98","3,764.64",,0.07%
14/01/2026,"3,768.14","3,766.84","3,772.10","3,763.00",,0.03%
13/01/2026,"3,767.20","3,766.41","3,771.20","3,762.00",,-0.02%
12/01/2026,"3,768.02","3,763.75","3,770.23","3,761.92",,0.08%
09/01/2026,"3,765.04","3,761.74","3,768.36","3,758.42",,0.10%
08/01/2026,"3,761.46","3,755.36","3,765.92","3,752.35",,0.17%
07/01/2026,"3,754.94","3,762.98","3,764.16","3,750.46",,-0.20%
06/01/2026,"3,762.41","3,760.31","3,767.55","3,759.90",,0.07%
05/01/2026,"3,759.60","3,766.13","3,769.34","3,754.44",,-0.02%
02/01/2026,"3,760.52","3,760.52","3,760.52","3,760.52",,0.00%
01/01/2026,"3,760.52","3,760.52","3,760.52","3,760.52",,0.00%
31/12/2025,"3,760.52","3,754.86","3,767.54","3,754.86",,0.17%
30/12/2025,"3,754.08","3,752.07","3,762.53","3,747.59",,0.06%
29/12/2025,"3,751.78","3,751.47","3,754.51","3,745.37",,-0.01%
26/12/2025,"3,752.26","3,751.76","3,756.17","3,746.43",,0.03%
25/12/2025,"3,751.13","3,747.67","3,755.92","3,745.12",,-0.02%
24/12/2025,"3,752.01","3,747.53","3,754.56","3,741.19",,0.15%
23/12/2025,"3,746.32","3,742.29","3,749.72","3,741.21",,0.09%
22/12/2025,"3,743.08","3,736.94","3,745.64","3,733.54",,0.16%
19/12/2025,"3,737.01","3,739.76","3,741.38","3,733.46",,-0.04%
18/12/2025,"3,738.42","3,738.70","3,742.18","3,735.92",,-0.01%
17/12/2025,"3,738.77","3,741.00","3,744.59","3,734.18",,-0.06%
16/12/2025,"3,741.07","3,734.91","3,743.57","3,731.51",,0.17%
15/12/2025,"3,734.55","3,723.52","3,737.00","3,723.52",,0.16%
12/12/2025,"3,728.62","3,728.29","3,737.71","3,723.45",,-0.04%
11/12/2025,"3,730.14","3,730.50","3,734.54","3,728.12",,-0.02%
10/12/2025,"3,730.86","3,733.44","3,733.98","3,730.86",,-0.07%
09/12/2025,"3,733.58","3,727.75","3,733.68","3,725.29",,0.16%
08/12/2025,"3,727.53","3,728.21","3,732.71","3,723.93",,-0.02%
05/12/2025,"3,728.27","3,729.97","3,733.04","3,725.91",,-0.04%
