Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
20/03/2026,"26,312.00","26,309.50","26,327.00","26,279.50",,0.08%
19/03/2026,"26,290.00","26,286.50","26,322.50","26,274.50",,-0.08%
18/03/2026,"26,310.00","26,292.00","26,317.00","26,272.00",,0.04%
17/03/2026,"26,300.00","26,284.50","26,309.00","26,254.00",,0.04%
16/03/2026,"26,290.00","26,291.00","26,308.00","26,243.50",,-0.02%
13/03/2026,"26,294.00","26,287.50","26,308.50","26,257.50",,0.07%
12/03/2026,"26,275.00","26,260.00","26,296.00","26,207.50",,0.10%
11/03/2026,"26,250.00","26,245.00","26,281.50","26,215.00",,0.06%
10/03/2026,"26,235.00","26,259.50","26,284.50","26,182.50",,-0.16%
09/03/2026,"26,277.50","26,274.50","26,302.00","26,215.00",,0.14%
06/03/2026,"26,240.00","26,230.00","26,269.50","26,197.50",,0.10%
05/03/2026,"26,215.00","26,207.00","26,256.50","26,170.00",,-0.02%
04/03/2026,"26,220.00","26,244.50","26,255.00","26,181.00",,0.08%
03/03/2026,"26,200.00","26,210.00","26,232.00","26,143.50",,0.13%
02/03/2026,"26,165.00","26,041.50","26,232.00","26,041.50",,0.46%
27/02/2026,"26,045.00","26,059.50","26,105.00","25,998.00",,-0.12%
26/02/2026,"26,075.00","26,100.00","26,159.50","26,039.00",,-0.10%
25/02/2026,"26,102.00","26,198.50","26,202.00","26,087.50",,-0.36%
24/02/2026,"26,195.00","26,129.50","26,224.50","26,115.00",,0.29%
23/02/2026,"26,120.00","25,970.00","26,127.00","25,948.50",,0.58%
20/02/2026,"25,970.00","25,970.00","25,970.00","25,970.00",,0.00%
19/02/2026,"25,970.00","25,970.00","25,970.00","25,970.00",,0.00%
18/02/2026,"25,970.00","25,970.00","25,970.00","25,970.00",,0.00%
17/02/2026,"25,970.00","25,970.00","25,970.00","25,970.00",,0.00%
16/02/2026,"25,970.00","25,970.00","25,970.00","25,970.00",,0.00%
13/02/2026,"25,970.00","25,979.50","26,019.50","25,915.00",,0.04%
12/02/2026,"25,960.00","25,927.50","26,044.00","25,920.00",,-0.15%
11/02/2026,"26,000.00","25,882.00","26,024.00","25,867.50",,0.44%
10/02/2026,"25,885.00","25,899.50","25,932.50","25,844.50",,-0.10%
09/02/2026,"25,910.00","25,958.50","25,979.00","25,886.50",,-0.15%
06/02/2026,"25,950.00","25,969.50","25,994.00","25,927.00",,-0.02%
05/02/2026,"25,955.00","25,977.00","25,997.50","25,927.00",,-0.10%
04/02/2026,"25,982.00","25,999.50","26,027.00","25,940.00",,-0.08%
03/02/2026,"26,002.00","26,024.50","26,036.50","25,984.50",,-0.07%
02/02/2026,"26,020.00","25,923.50","26,057.50","25,889.50",,0.31%
30/01/2026,"25,940.00","25,999.50","25,999.50","25,884.00",,-0.23%
29/01/2026,"26,000.00","26,064.50","26,102.50","25,980.00",,-0.25%
28/01/2026,"26,065.00","26,102.00","26,135.00","26,040.50",,-0.26%
27/01/2026,"26,134.00","26,169.50","26,170.00","26,124.00",,-0.20%
26/01/2026,"26,187.50","26,234.50","26,256.00","26,163.00",,-0.22%
23/01/2026,"26,245.00","26,269.50","26,285.00","26,220.00",,-0.09%
22/01/2026,"26,269.50","26,270.00","26,296.00","26,247.50",,0.02%
21/01/2026,"26,265.00","26,264.50","26,290.00","26,245.00",,0.00%
20/01/2026,"26,265.00","26,265.50","26,285.50","26,243.00",,0.00%
19/01/2026,"26,265.00","26,274.50","26,297.50","26,241.00",,-0.04%
16/01/2026,"26,275.00","26,274.50","26,317.50","26,250.00",,0.02%
15/01/2026,"26,270.00","26,282.50","26,300.00","26,248.50",,-0.03%
14/01/2026,"26,277.50","26,285.00","26,316.50","26,255.00",,-0.04%
13/01/2026,"26,287.50","26,268.50","26,305.00","26,245.00",,0.05%
12/01/2026,"26,275.00","26,267.00","26,290.00","26,242.50",,0.08%
10/01/2026,"26,255.00","26,269.00","26,274.00","26,249.00",,-0.06%
09/01/2026,"26,270.00","26,272.00","26,297.50","26,246.00",,0.00%
08/01/2026,"26,270.00","26,277.00","26,310.50","26,247.50",,-0.02%
07/01/2026,"26,274.00","26,279.50","26,293.00","26,270.50",,-0.01%
06/01/2026,"26,275.50","26,279.50","26,294.50","26,267.00",,0.00%
05/01/2026,"26,274.50","26,290.00","26,307.50","26,262.50",,-0.10%
02/01/2026,"26,300.00","26,300.00","26,300.00","26,300.00",,0.00%
01/01/2026,"26,300.00","26,300.00","26,300.00","26,300.00",,0.00%
31/12/2025,"26,300.00","26,270.50","26,327.00","26,260.00",,0.13%
30/12/2025,"26,265.00","26,287.00","26,301.00","26,239.00",,-0.08%
29/12/2025,"26,285.00","26,289.50","26,311.00","26,261.50",,-0.02%
26/12/2025,"26,291.00","26,284.50","26,320.00","26,260.00",,0.04%
25/12/2025,"26,280.00","26,289.50","26,318.50","26,255.00",,-0.15%
24/12/2025,"26,320.00","26,339.50","26,352.50","26,288.00",,-0.04%
23/12/2025,"26,331.00","26,334.50","26,356.00","26,320.00",,-0.03%
22/12/2025,"26,340.00","26,316.00","26,365.00","26,291.50",,0.10%
19/12/2025,"26,312.50","26,334.50","26,344.00","26,288.00",,-0.05%
18/12/2025,"26,325.00","26,335.00","26,352.50","26,310.00",,-0.04%
17/12/2025,"26,335.00","26,344.50","26,369.00","26,305.00",,-0.04%
16/12/2025,"26,345.00","26,322.50","26,361.50","26,281.00",,0.09%
15/12/2025,"26,320.00","26,270.00","26,335.00","26,269.00",,0.05%
12/12/2025,"26,306.00","26,314.50","26,372.00","26,270.00",,-0.08%
11/12/2025,"26,327.50","26,354.50","26,370.50","26,315.00",,-0.11%
10/12/2025,"26,357.00","26,371.50","26,371.50","26,353.00",,-0.06%
09/12/2025,"26,372.50","26,361.50","26,384.50","26,344.00",,0.05%
08/12/2025,"26,360.00","26,359.50","26,385.00","26,330.00",,0.00%
05/12/2025,"26,360.00","26,377.00","26,392.00","26,346.50",,-0.05%
04/12/2025,"26,374.50","26,364.50","26,392.00","26,350.00",,0.01%
03/12/2025,"26,372.50","26,379.50","26,395.50","26,320.00",,-0.01%
02/12/2025,"26,375.00","26,368.50","26,397.00","26,348.00",,0.02%
01/12/2025,"26,370.00","26,359.50","26,388.00","26,320.00",,0.02%
28/11/2025,"26,365.00","26,372.00","26,393.00","26,341.50",,-0.04%
27/11/2025,"26,375.50","26,379.50","26,391.50","26,359.00",,0.00%
26/11/2025,"26,376.50","26,365.50","26,390.00","26,354.00",,0.01%
25/11/2025,"26,373.00","26,377.00","26,392.00","26,357.50",,-0.01%
24/11/2025,"26,375.50","26,360.00","26,391.50","26,312.50",,0.09%
21/11/2025,"26,353.00","26,382.00","26,386.50","26,353.00",,-0.09%
20/11/2025,"26,376.00","26,383.00","26,386.00","26,354.50",,0.00%
19/11/2025,"26,377.00","26,383.50","26,387.50","26,351.00",,-0.02%
18/11/2025,"26,383.00","26,364.50","26,386.50","26,325.00",,0.11%
17/11/2025,"26,355.00","26,350.00","26,367.50","26,310.00",,0.02%
14/11/2025,"26,350.00","26,356.00","26,368.50","26,332.50",,-0.02%
13/11/2025,"26,355.00","26,344.50","26,369.50","26,306.00",,0.00%
12/11/2025,"26,355.00","26,321.00","26,368.00","26,305.00",,0.15%
11/11/2025,"26,315.00","26,312.50","26,333.00","26,293.50",,0.06%
10/11/2025,"26,300.00","26,314.50","26,326.50","26,282.00",,-0.04%
07/11/2025,"26,310.00","26,314.50","26,330.00","26,293.00",,-0.02%
06/11/2025,"26,315.00","26,323.50","26,338.00","26,298.00",,-0.03%
05/11/2025,"26,322.50","26,319.50","26,345.00","26,302.50",,0.01%
04/11/2025,"26,320.00","26,316.00","26,341.00","26,302.50",,0.03%
03/11/2025,"26,312.00","26,306.00","26,326.50","26,275.00",,-0.01%
31/10/2025,"26,315.00","26,329.50","26,338.50","26,291.50",,-0.06%
30/10/2025,"26,330.00","26,332.00","26,342.00","26,295.00",,-0.02%
29/10/2025,"26,336.00","26,329.50","26,339.00","26,305.00",,0.03%
28/10/2025,"26,328.00","26,302.00","26,338.00","26,287.50",,0.09%
27/10/2025,"26,305.00","26,302.00","26,345.00","26,276.50",,0.00%
24/10/2025,"26,305.00","26,334.50","26,346.00","26,291.00",,-0.10%
23/10/2025,"26,332.00","26,339.50","26,351.50","26,315.00",,-0.06%
22/10/2025,"26,347.50","26,341.50","26,356.00","26,290.00",,0.02%
21/10/2025,"26,343.00","26,343.50","26,352.50","26,331.50",,0.00%
20/10/2025,"26,342.50","26,340.00","26,360.00","26,334.50",,0.00%
17/10/2025,"26,342.00","26,335.00","26,349.50","26,331.50",,0.03%
16/10/2025,"26,335.00","26,340.50","26,356.00","26,322.50",,-0.02%
15/10/2025,"26,340.00","26,355.00","26,359.50","26,322.50",,-0.06%
14/10/2025,"26,355.50","26,347.50","26,364.00","26,305.00",,0.04%
13/10/2025,"26,345.00","26,334.50","26,357.50","26,320.00",,0.02%
