month,m2,unit,source,time_scraped
Tháng 1/2026,0,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2025,0,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 11/2025,0,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 10/2025,0,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 9/2025,19980717,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 8/2025,19685504,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 7/2025,19482760,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 6/2025,19584434,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 5/2025,18973143,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 4/2025,18721571,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 3/2025,18450042,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 2/2025,18157191,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 1/2025,18176926,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2024,17914566,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 11/2024,17301843,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 10/2024,17107320,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 9/2024,16949072,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 8/2024,16658293,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 7/2024,16401397,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 6/2024,16513106,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 5/2024,16130057,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 4/2024,16019364,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 3/2024,16012915,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 2/2024,15914067,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 1/2024,15999293,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2023,15998956,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 11/2023,15354119,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 10/2023,15074263,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 9/2023,15026012,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 8/2023,14801154,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 7/2023,14640943,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 6/2023,14754221,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 5/2023,14517832,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 4/2023,14470593,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 3/2023,14415021,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 2/2023,14272184,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 1/2023,14339502,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2022,14226792,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 11/2022,13878503,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 10/2022,13815145,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 9/2022,13832397,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 8/2022,13761019,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 7/2022,13828044,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 6/2022,13908338,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 5/2022,13848264,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 4/2022,13871751,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 3/2022,13864061,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 2/2022,13644750,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 1/2022,13748740,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2021,13402097,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
