"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/04/2025","487.90","482.50","487.90","474.36","26.46K","1.07%"
"31/03/2025","482.74","488.14","488.95","482.41","31.80K","-1.18%"
"28/03/2025","488.52","491.28","493.82","485.78","31.25K","-0.69%"
"27/03/2025","491.91","492.72","495.66","491.18","26.39K","-0.35%"
"26/03/2025","493.63","498.41","501.78","491.80","31.15K","-1.20%"
"25/03/2025","499.63","496.47","503.13","482.58","28.51K","-0.08%"
"24/03/2025","500.03","500.81","502.70","494.76","29.57K","-0.19%"
"21/03/2025","500.98","494.53","505.76","490.87","21.15K","-0.15%"
"20/03/2025","501.72","495.75","503.90","494.49","39.62K","1.17%"
"19/03/2025","495.91","497.52","499.04","487.84","26.31K","-0.92%"
"17/03/2025","500.53","495.68","500.80","493.12","35.36K","1.10%"
"14/03/2025","495.07","494.10","499.83","487.46","46.44K","-0.26%"
"13/03/2025","496.38","496.43","505.48","493.28","39.32K","-1.54%"
"12/03/2025","504.13","503.98","506.25","500.96","47.76K","0.03%"
"11/03/2025","503.98","500.09","503.98","492.90","37.13K","0.39%"
"10/03/2025","502.04","502.06","506.56","500.27","34.55K","0.01%"
"07/03/2025","502.01","496.30","505.57","496.30","47.45K","0.35%"
"06/03/2025","500.27","492.04","500.27","490.25","49.48K","1.54%"
"05/03/2025","492.66","494.65","502.03","491.15","30.00K","-1.20%"
"04/03/2025","498.62","499.38","503.09","494.37","33.01K","-0.46%"
"03/03/2025","500.90","503.20","504.71","500.04","52.63K","-0.56%"
"28/02/2025","503.71","503.59","509.17","501.71","35.86K","-0.22%"
"27/02/2025","504.82","503.55","505.86","496.79","38.21K","0.35%"
"26/02/2025","503.04","501.81","507.03","500.31","37.34K","0.14%"
"25/02/2025","502.33","495.65","507.29","487.65","45.36K","0.00%"
"24/02/2025","502.33","490.92","502.49","489.96","34.17K","0.85%"
"21/02/2025","498.11","498.70","502.43","495.20","32.62K","-0.24%"
"20/02/2025","499.31","494.58","504.21","494.58","35.23K","0.09%"
"19/02/2025","498.85","488.63","499.40","485.99","44.89K","1.25%"
