Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
18/03/2026,247.33,246.86,248.68,245.23,96.54M,0.19%
17/03/2026,246.86,245.74,248.88,245.74,66.97M,0.46%
16/03/2026,245.74,245.84,247.48,243.17,81.62M,-0.04%
13/03/2026,245.84,247.85,248.44,243.57,95.48M,-0.81%
12/03/2026,247.85,247.02,247.85,243,80.17M,0.34%
11/03/2026,247.02,240.07,247.02,240.03,79.81M,2.89%
10/03/2026,240.07,235.36,242.07,235.36,139.52M,2.00%
09/03/2026,235.36,253.64,253.64,233.39,138.41M,-7.21%
06/03/2026,253.64,257.59,258.91,251.23,101.89M,-1.53%
05/03/2026,257.59,257.85,260.12,255.96,149.55M,-0.10%
04/03/2026,257.85,260.01,260.96,250.48,132.45M,-0.83%
03/03/2026,260.01,259,261.52,258.63,112.60M,0.39%
02/03/2026,259,262.82,262.82,256.84,130.44M,-1.45%
27/02/2026,262.82,262.33,263.69,261.32,91.80M,0.19%
26/02/2026,262.33,263.23,264.07,260.97,56.18M,-0.34%
25/02/2026,263.23,262.72,265.33,261.9,77.12M,0.19%
24/02/2026,262.72,261.83,264.05,261.77,77.90M,0.34%
23/02/2026,261.83,257.06,261.96,257.06,61.03M,1.86%
13/02/2026,257.06,256.48,257.28,254.98,49.80M,0.23%
12/02/2026,256.48,255.86,256.98,254.83,44.08M,0.24%
11/02/2026,255.86,253.77,256.86,253.36,57.42M,0.82%
10/02/2026,253.77,256.01,258.34,250.95,60.99M,-0.87%
09/02/2026,256.01,256.28,258.28,254.76,41.96M,-0.11%
06/02/2026,256.28,263.04,263.17,255.84,103.31M,-2.57%
05/02/2026,263.04,265.95,267.68,262.18,70.58M,-1.09%
04/02/2026,265.95,265.18,268.97,263.62,85.39M,0.29%
03/02/2026,265.18,260.39,265.71,260.39,88.75M,1.84%
02/02/2026,260.39,256.13,260.39,255.9,87.59M,1.66%
30/01/2026,256.13,252.72,256.86,252.72,94.99M,1.35%
29/01/2026,252.72,252.47,254.35,251.03,64.78M,0.10%
28/01/2026,252.47,252.84,256.52,250.31,101.69M,-0.15%
27/01/2026,252.84,247.3,252.85,247.17,59.87M,2.24%
26/01/2026,247.3,252.96,253.62,246.46,90.49M,-2.24%
23/01/2026,252.96,258.43,258.76,252.13,80.23M,-2.12%
22/01/2026,258.43,252.66,258.43,252.35,106.78M,2.28%
21/01/2026,252.66,253.11,253.39,249.93,106.95M,-0.18%
20/01/2026,253.11,254.95,256.9,252.5,86.10M,-0.72%
19/01/2026,254.95,252.28,255.57,252.28,69.37M,1.06%
16/01/2026,252.28,253.16,255.35,251.41,96.30M,-0.35%
15/01/2026,253.16,253.32,254.13,249.59,85.78M,-0.06%
14/01/2026,253.32,252.85,254.59,251.38,122.43M,0.19%
13/01/2026,252.85,251.88,254.29,251.87,108.13M,0.39%
12/01/2026,251.88,247.1,251.88,244.88,110.48M,1.93%
09/01/2026,247.1,249.1,250.55,246.04,108.43M,-0.80%
08/01/2026,249.1,249.4,250.99,246.98,93.91M,-0.12%
07/01/2026,249.4,246.52,249.82,246.52,67.19M,1.17%
06/01/2026,246.52,246.74,248.52,244.67,82.83M,-0.09%
05/01/2026,246.74,248.77,251.33,245.76,78.44M,-0.82%
31/12/2025,248.77,250.5,251.38,247.89,49.73M,-0.69%
30/12/2025,250.5,251.22,252.21,248.13,35.54M,-0.29%
29/12/2025,251.22,250.53,251.77,250.53,50.64M,0.28%
26/12/2025,250.53,250.98,251.91,246.43,75.66M,-0.18%
25/12/2025,250.98,252.6,255.39,250.7,56.17M,-0.64%
24/12/2025,252.6,255.47,257.39,251.45,54.25M,-1.12%
23/12/2025,255.47,257.23,257.93,254.1,65.95M,-0.68%
22/12/2025,257.23,253.97,257.29,253.97,59.06M,1.28%
19/12/2025,253.97,253.23,255.88,250.81,57.49M,0.29%
18/12/2025,253.23,253.12,254.07,252.03,41.43M,0.04%
17/12/2025,253.12,255.08,256.42,252.61,41.34M,-0.77%
16/12/2025,255.08,249.37,255.65,248.05,75.63M,2.29%
15/12/2025,249.37,250.09,251.95,248.7,62.17M,-0.29%
12/12/2025,250.09,255.87,256.96,249.78,81.59M,-2.26%
11/12/2025,255.87,256.48,258.31,255.03,43.01M,-0.24%
10/12/2025,256.48,257.14,257.81,255.36,37.56M,-0.26%
09/12/2025,257.14,258.68,259.05,254.59,70.62M,-0.60%
08/12/2025,258.68,260.65,261.58,258.16,52.09M,-0.76%
05/12/2025,260.65,262.31,264.8,259.39,61.36M,-0.63%
04/12/2025,262.31,259.67,262.66,259.67,70.68M,1.02%
03/12/2025,259.67,258.87,260.11,258.28,59.82M,0.31%
02/12/2025,258.87,257.91,258.87,255.41,60.24M,0.37%
01/12/2025,257.91,259.91,261.08,257.42,50.55M,-0.77%
28/11/2025,259.91,261.43,261.9,258.66,61.76M,-0.58%
27/11/2025,261.43,261.91,263.36,260.13,46.93M,-0.18%
26/11/2025,261.91,257.3,262.12,257.3,54.79M,1.79%
25/11/2025,257.3,261.22,261.93,256.51,72.45M,-1.50%
24/11/2025,261.22,263.13,264.91,261.06,41.06M,-0.73%
21/11/2025,263.13,264.23,264.23,260.78,61.14M,-0.42%
20/11/2025,264.23,265.03,265.78,261.95,47.98M,-0.30%
19/11/2025,265.03,267.36,267.97,263.87,71.02M,-0.87%
18/11/2025,267.36,268.69,269.95,264.95,65.93M,-0.50%
17/11/2025,268.69,267.61,269.76,267.61,68.51M,0.40%
14/11/2025,267.61,266.29,268.2,265.31,66.84M,0.50%
13/11/2025,266.29,264.79,267.46,264.22,70.80M,0.57%
12/11/2025,264.79,261.08,265.1,261.08,65.92M,1.42%
11/11/2025,261.08,258.18,261.1,257.68,53.82M,1.12%
10/11/2025,258.18,260.11,261.76,256.83,72.72M,-0.74%
07/11/2025,260.11,266.15,266.45,259.79,79.14M,-2.27%
06/11/2025,266.15,266.7,267.5,263.76,77.30M,-0.21%
05/11/2025,266.7,265.91,266.93,264.91,84.41M,0.30%
04/11/2025,265.91,259.18,265.91,255.61,112.78M,2.60%
03/11/2025,259.18,265.85,267.54,258.86,126.51M,-2.51%
31/10/2025,265.85,266.96,269.04,265.28,82.27M,-0.42%
30/10/2025,266.96,268.04,269.95,266.02,79.13M,-0.40%
29/10/2025,268.04,266.78,270.03,266.78,66.81M,0.47%
28/10/2025,266.78,265.36,267.17,261.9,100.85M,0.54%
27/10/2025,265.36,267.28,270.46,265.24,91.17M,-0.72%
24/10/2025,267.28,266.78,268.84,264.65,104.19M,0.19%
23/10/2025,266.78,268.69,269.86,266.05,81.16M,-0.71%
22/10/2025,268.69,264.65,268.69,262.06,107.62M,1.53%
21/10/2025,264.65,263.02,266.99,259.4,140.75M,0.62%
20/10/2025,263.02,276.11,278.91,262.8,168.90M,-4.74%
17/10/2025,276.11,277.08,278.8,275.17,99.96M,-0.35%
16/10/2025,277.08,276.12,278.63,275.66,100.13M,0.35%
15/10/2025,276.12,275.33,276.89,273.83,89.14M,0.29%
14/10/2025,275.33,275.35,279.39,274.88,139.97M,-0.01%
13/10/2025,275.35,273.62,276.21,270.92,130.75M,0.63%
10/10/2025,273.62,274.94,276.51,273.03,90.96M,-0.48%
09/10/2025,274.94,273.34,274.94,272.94,72.34M,0.59%
08/10/2025,273.34,272.87,278.16,272.01,98.28M,0.17%
07/10/2025,272.87,274.69,276.16,272.55,79.29M,-0.66%
06/10/2025,274.69,265.75,275.27,265.75,95.14M,3.36%
03/10/2025,265.75,269.55,269.67,265.55,83.30M,-1.41%
02/10/2025,269.55,273.22,274.48,269.04,72.19M,-1.34%
01/10/2025,273.22,273.16,274.53,272.56,65.61M,0.02%
30/09/2025,273.16,275.15,275.88,269.24,104.56M,-0.72%
29/09/2025,275.15,276.06,277.28,274.56,69.48M,-0.33%
26/09/2025,276.06,277.65,278.53,275.58,96.67M,-0.57%
25/09/2025,277.65,277.28,280.13,277.28,86.35M,0.13%
24/09/2025,277.28,273.01,277.28,272.06,91.05M,1.56%
23/09/2025,273.01,274.23,275.89,272.72,56.91M,-0.44%
22/09/2025,274.23,276.24,277.66,271.55,105.99M,-0.73%
19/09/2025,276.24,276.92,278.3,273.86,67.43M,-0.25%
18/09/2025,276.92,277.63,279.01,276.11,67.07M,-0.26%
17/09/2025,277.63,278.98,281.01,277.23,79.51M,-0.48%
16/09/2025,278.98,280.69,283.71,277.08,100.10M,-0.61%
15/09/2025,280.69,276.51,280.69,276.51,101.07M,1.51%
12/09/2025,276.51,274.18,277.39,274.18,88.86M,0.85%
11/09/2025,274.18,274.6,274.77,267.68,120.27M,-0.15%
10/09/2025,274.6,274.82,277.05,273.01,80.20M,-0.08%
09/09/2025,274.82,271.57,274.82,270.95,93.53M,1.20%
08/09/2025,271.57,280.67,281.59,271.37,173.75M,-3.24%
05/09/2025,280.67,283.99,288.32,280.67,172.39M,-1.17%
04/09/2025,283.99,282.7,286,282.68,108.99M,0.46%
03/09/2025,282.7,279.98,282.83,279.98,117.13M,0.97%
29/08/2025,279.98,276.63,282.26,276.63,144.15M,1.21%
28/08/2025,276.63,276.38,277.59,274.78,100.84M,0.09%
27/08/2025,276.38,275.79,279.5,275.79,128.75M,0.21%
26/08/2025,275.79,266.58,275.79,265.02,111.94M,3.45%
25/08/2025,266.58,272.48,275.19,265.08,117.88M,-2.17%
22/08/2025,272.48,284.39,284.39,270.73,203.68M,-4.19%
21/08/2025,284.39,283.73,288.07,283.32,146.97M,0.23%
20/08/2025,283.73,286.45,287.16,275.42,219.52M,-0.95%
19/08/2025,286.45,283.87,288.69,283.87,186.67M,0.91%
18/08/2025,283.87,282.34,284.16,280.98,152.12M,0.54%
15/08/2025,282.34,285.15,289.07,279.76,199.96M,-0.99%
14/08/2025,285.15,279.69,285.15,279.69,181.43M,1.95%
13/08/2025,279.69,276.47,279.69,273.95,226.11M,1.16%
12/08/2025,276.47,276.46,277.17,272.91,141.24M,0.00%
11/08/2025,276.46,272.46,276.6,272.46,163.96M,1.47%
08/08/2025,272.46,270.86,273.23,268.14,218.14M,0.59%
07/08/2025,270.86,268.66,271.73,268.65,131.59M,0.82%
06/08/2025,268.66,266.12,268.66,266.12,131.12M,0.95%
05/08/2025,266.12,268.34,272.87,261.04,258.18M,-0.83%
04/08/2025,268.34,264.93,268.35,262.88,160.80M,1.29%
01/08/2025,264.93,266.34,268.02,262.88,187.30M,-0.53%
31/07/2025,266.34,261.51,266.52,260.17,195.56M,1.85%
30/07/2025,261.51,255.36,261.51,255.36,178.57M,2.41%
29/07/2025,255.36,263.79,269.64,254.15,315.48M,-3.20%
28/07/2025,263.79,254.56,263.79,254.56,194.20M,3.63%
25/07/2025,254.56,250.67,254.56,250.67,163.75M,1.55%
24/07/2025,250.67,249.33,251.53,248.4,136.54M,0.54%
23/07/2025,249.33,247.85,251.3,247.85,153.88M,0.60%
22/07/2025,247.85,245.79,247.85,244.61,146.58M,0.84%
21/07/2025,245.79,247.77,250.15,244.99,151.79M,-0.80%
18/07/2025,247.77,246.09,250.54,246.09,177.98M,0.68%
17/07/2025,246.09,242.35,247.72,242.35,192.81M,1.54%
16/07/2025,242.35,240.33,242.35,239.78,156.60M,0.84%
15/07/2025,240.33,239.61,242.57,239.61,161.91M,0.30%
14/07/2025,239.61,238.81,239.99,236.9,136.16M,0.33%
11/07/2025,238.81,238.44,240.05,237.96,140.47M,0.16%
10/07/2025,238.44,238.63,240.04,237.77,109.17M,-0.08%
09/07/2025,238.63,237.68,239.88,237.62,158.87M,0.40%
08/07/2025,237.68,235.9,238.4,235.87,104.48M,0.75%
07/07/2025,235.9,232.51,235.9,232.51,122.22M,1.46%
04/07/2025,232.51,230.93,232.91,230.91,89.57M,0.68%
03/07/2025,230.93,231.62,232.83,229.83,134.74M,-0.30%
02/07/2025,231.62,228.45,231.62,228.03,100.96M,1.39%
01/07/2025,228.45,229.22,229.65,227.68,79.01M,-0.34%
30/06/2025,229.22,227.81,229.22,227.75,65.36M,0.62%
27/06/2025,227.81,227.7,229.21,226.85,65.34M,0.05%
26/06/2025,227.7,227.66,228.16,226.72,62.89M,0.02%
25/06/2025,227.66,227.79,228.74,227.04,69.41M,-0.06%
24/06/2025,227.79,227.42,228.5,227.14,102.53M,0.16%
23/06/2025,227.42,227.07,227.42,225.83,88.30M,0.15%
20/06/2025,227.07,227.56,228.75,226.32,70.37M,-0.22%
19/06/2025,227.56,228.2,228.52,226.61,77.58M,-0.28%
18/06/2025,228.2,228.24,229.48,226.83,70.61M,-0.02%
17/06/2025,228.24,228.12,229.45,227.3,82.30M,0.05%
16/06/2025,228.12,224.82,228.25,224.82,67.73M,1.47%
13/06/2025,224.82,227.73,227.73,223.12,159.58M,-1.28%
12/06/2025,227.73,226.23,228,226.23,74.31M,0.66%
11/06/2025,226.23,226.4,227.05,224.69,66.29M,-0.08%
10/06/2025,226.4,226.49,227.64,225.74,69.34M,-0.04%
09/06/2025,226.49,228.61,229.18,225.56,86.03M,-0.93%
06/06/2025,228.61,231.19,231.46,228.28,115.00M,-1.12%
05/06/2025,231.19,230.83,232.12,229.79,106.99M,0.16%
04/06/2025,230.83,228.94,231.26,228.94,92.13M,0.83%
03/06/2025,228.94,226.17,229.73,226.17,140.30M,1.22%
02/06/2025,226.17,223.22,226.17,222.21,95.63M,1.32%
30/05/2025,223.22,224.3,225.29,222.06,99.03M,-0.48%
29/05/2025,224.3,223.56,225.6,223.3,81.22M,0.33%
28/05/2025,223.56,221.79,224.76,221.79,92.96M,0.80%
27/05/2025,221.79,219.41,222.23,219.41,122.62M,1.08%
26/05/2025,219.41,216.32,219.41,214.68,79.47M,1.43%
23/05/2025,216.32,216.79,217.58,215.82,57.03M,-0.22%
