Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
18/03/2026,125.15,125.51,125.76,124.13,64.30M,-0.29%
17/03/2026,125.51,125.04,126.02,125.04,36.62K,0.38%
16/03/2026,125.04,124.75,125.31,124.42,40.31K,0.23%
13/03/2026,124.75,123.85,125.39,123.82,69.35K,0.73%
12/03/2026,123.85,124.09,125.3,123.75,32.37K,-0.19%
11/03/2026,124.09,122.25,124.78,121.9,37.38K,1.51%
10/03/2026,122.25,119.35,123.27,119.35,46.27K,2.43%
09/03/2026,119.35,126.85,126.85,118,111.84K,-5.91%
06/03/2026,126.85,127.9,128.51,126.52,64.03K,-0.82%
05/03/2026,127.9,127.23,128.64,127.23,57.13K,0.53%
04/03/2026,127.23,129.06,129.71,126.39,85.74K,-1.42%
03/03/2026,129.06,128.71,130.39,128.71,86.86K,0.27%
02/03/2026,128.71,129.31,129.68,127.44,89.44K,-0.46%
27/02/2026,129.31,128.85,130.02,128.85,76.75K,0.36%
26/02/2026,128.85,128.72,129.4,128.61,37.51K,0.10%
25/02/2026,128.72,128.04,129.35,128.02,54.42K,0.53%
24/02/2026,128.04,128.05,128.78,127.74,33.52K,-0.01%
23/02/2026,128.05,127.34,128.95,127.34,34.72K,0.56%
13/02/2026,127.34,125.94,127.79,125.94,41.17K,1.11%
12/02/2026,125.94,126.46,127.18,125.69,18.85K,-0.41%
11/02/2026,126.46,126,126.97,125.87,23.50K,0.37%
10/02/2026,126,126.42,127.51,125.24,35.80K,-0.33%
09/02/2026,126.42,125.51,126.74,125.47,21.84K,0.73%
06/02/2026,125.51,128.59,128.59,125.22,79.12K,-2.40%
05/02/2026,128.59,129.28,129.85,128.03,45.45K,-0.53%
04/02/2026,129.28,128.7,129.73,128.25,45.01K,0.45%
03/02/2026,128.7,129.12,130.32,128.21,52.26K,-0.33%
02/02/2026,129.12,129.06,130.08,128.47,46.42K,0.05%
30/01/2026,129.06,128.44,129.69,128.14,90.88K,0.48%
29/01/2026,128.44,127.71,128.65,127.71,38.42K,0.57%
28/01/2026,127.71,126.92,127.89,126.92,62.64K,0.62%
27/01/2026,126.92,126.56,127.46,126.2,37.25K,0.28%
26/01/2026,126.56,127.07,127.84,125.89,47.28K,-0.40%
23/01/2026,127.07,127.17,128.34,126.44,78.47K,-0.08%
22/01/2026,127.17,125.93,128.07,125.93,50.36K,0.98%
21/01/2026,125.93,126.59,126.9,125.21,58.31K,-0.52%
20/01/2026,126.59,126.36,127.13,126.09,63.99K,0.18%
19/01/2026,126.36,127.06,127.06,125.99,62.13K,-0.55%
16/01/2026,127.06,126.08,127.94,126.08,114.42K,0.78%
15/01/2026,126.08,124.89,126.71,124.89,64.72K,0.95%
14/01/2026,124.89,123.24,125.97,123.24,74.33K,1.34%
13/01/2026,123.24,122.56,124.12,122.56,73.93K,0.55%
12/01/2026,122.56,121.83,123.08,121.83,63.80K,0.60%
09/01/2026,121.83,121.59,121.92,121.4,77.28K,0.20%
