"Historical Vietnam Core Inflation Rate data table showing Monthly values (in %) from 2015-2026"
"PERIOD","CORE INFLATION RATE"
"2026-06-30","4.5%"
"2026-05-31","4.67%"
"2026-04-30","4.66%"
"2026-03-31","3.96%"
"2026-02-28","3.74%"
"2026-01-31","3.19%"
"2025-12-31","3.27%"
"2025-11-30","3.28%"
"2025-10-31","3.3%"
"2025-09-30","3.18%"
"2025-08-31","3.25%"
"2025-07-31","3.3%"
"2025-06-30","3.46%"
"2025-05-31","3.33%"
"2025-04-30","3.14%"
"2025-03-31","3.1%"
"2025-02-28","2.87%"
"2025-01-31","3.07%"
"2024-12-31","2.85%"
"2024-11-30","2.77%"
"2024-10-31","2.68%"
"2024-09-30","2.54%"
"2024-08-31","2.53%"
"2024-07-31","2.61%"
"2024-06-30","2.61%"
"2024-05-31","2.68%"
"2024-04-30","2.79%"
"2024-03-31","2.76%"
"2024-02-29","2.96%"
"2024-01-31","2.72%"
"2023-12-31","2.98%"
"2023-11-30","3.15%"
"2023-10-31","3.43%"
"2023-09-30","4.49%"
"2023-08-31","4.02%"
"2023-07-31","4.11%"
"2023-06-30","4.33%"
"2023-05-31","4.54%"
"2023-04-30","4.56%"
"2023-03-31","4.88%"
"2023-02-28","4.96%"
"2023-01-31","5.21%"
"2022-12-31","4.99%"
"2022-11-30","4.81%"
"2022-10-31","4.47%"
"2022-09-30","3.82%"
"2022-08-31","1.64%"
"2022-07-31","2.63%"
"2022-06-30","1.98%"
"2022-05-31","1.61%"
"2022-04-30","1.47%"
"2022-03-31","1.09%"
"2022-02-28","0.68%"
"2022-01-31","0.66%"
"2021-12-31","0.67%"
"2021-11-30","0.58%"
"2021-10-31","0.5%"
"2021-09-30","0.74%"
"2021-08-31","0.98%"
"2021-07-31","0.99%"
