MONTH,INFLATION RATE MOM
Thg2-26,1.14%
Thg1-26,0.05%
Thg12-25,0.19%
Thg11-25,0.45%
Thg10-25,0.20%
Thg9-25,0.42%
Thg8-25,0.05%
Thg7-25,0.11%
Thg6-25,0.48%
Thg5-25,0.16%
Thg4-25,0.07%
Thg3-25,-0.03%
Thg9-25,0.42%
Thg8-25,0.05%
Thg7-25,0.11%
Thg6-25,0.48%
Thg5-25,0.16%
Thg4-25,0.07%
Thg3-25,-0.03%
Thg2-25,0.34%
Thg1-25,0.98%
Thg12-24,0.29%
Thg11-24,0.13%
Thg10-24,0.33%
Thg9-24,0.29%
Thg8-24,0%
Thg7-24,0.48%
Thg6-24,0.17%
Thg5-24,0.05%
Thg4-24,0.07%
Thg3-24,-0.23%
Thg2-24,1.04%
Thg1-24,0.31%
Thg12-23,0.12%
Thg11-23,0.25%
Thg10-23,0.08%
Thg9-23,1.08%
Thg8-23,0.88%
Thg7-23,0.45%
Thg6-23,0.27%
Thg5-23,0.01%
Thg4-23,-0.34%
Thg3-23,-0.23%
Thg2-23,0.45%
Thg1-23,0.52%
Thg12-22,-0.01%
Thg11-22,0.39%
Thg10-22,0.15%
Thg9-22,0.40%
Thg8-22,0.05%
Thg7-22,0.40%
Thg6-22,0.69%
Thg5-22,0.38%
Thg4-22,0.18%
Thg3-22,0.70%
Thg2-22,1%
Thg1-22,0.19%
Thg12-21,-0.18%
Thg11-21,0.32%
Thg10-21,-0.20%
Thg9-21,-0.62%
Thg8-21,0.25%
Thg7-21,0.62%
Thg6-21,0.17%
Thg5-21,0.16%
Thg4-21,-0.04%
Thg3-21,-0.27%
Thg2-21,1.52%
Thg1-21,0.06%
Thg12-20,0.10%
Thg11-20,0.08%
Thg10-20,0.09%
Thg9-20,0.12%
Thg8-20,0.07%
Thg7-20,0.40%
Thg6-20,0.66%
Thg5-20,-0.23%
Thg4-20,-1.54%
Thg3-20,-0.72%
Thg2-20,-0.72%
Thg1-20,1.23%
Thg12-19,1.40%
Thg11-19,0.96%
Thg10-19,0.59%
Thg9-19,0.32%
Thg8-19,0.28%
Thg7-19,0.18%
Thg6-19,-0.09%
Thg5-19,0.49%
Thg4-19,0.31%
Thg3-19,-0.21%
Thg2-19,0.80%
Thg1-19,0.10%
Thg12-18,-0.25%
Thg11-18,-0.29%
Thg10-18,0.33%
Thg9-18,0.59%
Thg8-18,0.45%
Thg7-18,-0.09%
Thg6-18,0.61%
Thg5-18,0.55%
Thg4-18,0.08%
Thg3-18,-0.27%
Thg2-18,0.73%
Thg1-18,0.51%
Thg12-17,0.21%
Thg11-17,0.13%
Thg10-17,0.41%
Thg9-17,0.59%
Thg8-17,0.92%
Thg7-17,0.11%
Thg6-17,-0.17%
Thg5-17,0.53%
Thg4-17,0%
Thg3-17,0.21%
Thg2-17,0.23%
Thg1-17,0.46%
Thg12-16,0.23%
Thg11-16,0.48%
Thg10-16,0.83%
Thg9-16,0.54%
Thg8-16,0.10%
Thg7-16,0.13%
Thg6-16,0.46%
Thg5-16,0.54%
Thg4-16,0.33%
Thg3-16,0.57%
Thg2-16,0.42%
Thg1-16,0%
Thg12-15,0.02%
Thg11-15,0.07%
Thg10-15,0.11%
Thg9-15,-0.21%
Thg8-15,-0.07%
Thg7-15,0.13%
Thg6-15,0.35%
Thg5-15,0.16%
Thg4-15,0.14%
Thg3-15,0.15%
Thg2-15,-0.05%
Thg1-15,-0.20%
Thg12-14,-0.24%
Thg11-14,-0.27%
Thg10-14,0.11%
Thg9-14,0.40%
Thg8-14,0.22%
Thg7-14,0.22%
Thg6-14,0.30%
Thg5-14,0.19%
Thg4-14,0.07%
