Historical Vietnam - Producer Price Inflation QoQ data table showing Quarterly values (in %) from 2016-2025,
QUARTER,PRODUCER PRICE INFLATION QOQ
Q4 2025,0.51%
Q3 2025,-1.25%
Q2 2025,-0.65%
Q1 2025,1.25%
Q4 2024,-0.23%
Q3 2024,0.07%
Q2 2024,1.15%
Q1 2024,-0.64%
Q4 2023,0.98%
Q3 2023,-0.35%
Q2 2023,-0.49%
Q1 2023,-0.66%
Q4 2022,-1.01%
Q3 2022,0.65%
Q2 2022,2.10%
Q1 2022,1.09%
Q4 2021,0.71%
Q3 2021,1.12%
Q2 2021,1.40%
Q1 2021,1.04%
Q4 2020,0.10%
Q3 2020,0.81%
Q2 2020,-1.66%
Q1 2020,-0.03%
Q4 2019,-0.07%
Q3 2019,0.06%
Q2 2019,1.34%
Q1 2019,-0.54%
Q4 2018,0.40%
Q3 2018,1.08%
Q2 2018,0.51%
Q1 2018,0.79%
Q4 2017,1.48%
Q3 2017,-0.64%
Q2 2017,-0.78%
Q1 2017,0.34%
Q4 2016,0.38%
Q3 2016,0.65%
Q2 2016,0.07%
Q1 2016,-0.73%
