time,open,high,low,close,volume,symbol,name,country
2024-10-02,5698.14,5719.63,5674.0,5709.54,2224344812,INX,S&P 500,US
2024-10-03,5698.19,5718.78,5677.37,5699.94,2199794863,INX,S&P 500,US
2024-10-04,5737.48,5753.21,5702.83,5751.07,2211353425,INX,S&P 500,US
2024-10-07,5737.8,5739.34,5686.85,5695.94,2384804685,INX,S&P 500,US
2024-10-08,5719.14,5757.6,5714.56,5751.13,2274877236,INX,S&P 500,US
2024-10-09,5751.8,5796.8,5745.02,5792.04,2222040985,INX,S&P 500,US
2024-10-10,5778.36,5795.03,5764.76,5780.05,2091866037,INX,S&P 500,US
2024-10-11,5775.09,5822.13,5775.09,5815.03,2154169249,INX,S&P 500,US
2024-10-14,5829.81,5871.41,5829.57,5859.85,2003295456,INX,S&P 500,US
2024-10-15,5866.74,5870.36,5804.48,5815.26,2828509934,INX,S&P 500,US
2024-10-16,5816.58,5846.52,5808.34,5842.47,2301294506,INX,S&P 500,US
2024-10-17,5875.62,5878.46,5840.25,5841.47,2394376383,INX,S&P 500,US
2024-10-18,5859.43,5872.17,5846.11,5864.67,2157845295,INX,S&P 500,US
2024-10-21,5857.82,5866.92,5824.79,5853.98,2091355741,INX,S&P 500,US
2024-10-22,5832.7,5863.04,5821.17,5851.2,2245293747,INX,S&P 500,US
2024-10-23,5834.5,5834.85,5762.41,5797.42,2375100419,INX,S&P 500,US
2024-10-24,5817.8,5817.8,5784.92,5809.86,2283227696,INX,S&P 500,US
2024-10-25,5826.75,5862.82,5799.98,5808.12,2270596865,INX,S&P 500,US
2024-10-28,5833.93,5842.92,5823.08,5823.52,2209334797,INX,S&P 500,US
2024-10-29,5819.68,5847.19,5802.17,5832.92,2572018715,INX,S&P 500,US
2024-10-30,5832.65,5850.94,5811.28,5813.67,2847422903,INX,S&P 500,US
2024-10-31,5775.34,5775.34,5702.86,5705.45,3332360701,INX,S&P 500,US
2024-11-01,5723.22,5772.52,5723.22,5728.8,2742173410,INX,S&P 500,US
2024-11-04,5725.15,5741.43,5696.51,5712.69,2423396486,INX,S&P 500,US
2024-11-05,5722.43,5783.44,5722.1,5782.76,2366842625,INX,S&P 500,US
2024-11-06,5864.89,5936.14,5864.89,5929.04,4192067340,INX,S&P 500,US
2024-11-07,5947.21,5983.84,5947.21,5973.1,3071243707,INX,S&P 500,US
2024-11-08,5976.76,6012.45,5976.76,5995.54,2756536816,INX,S&P 500,US
2024-11-11,6008.86,6017.31,5986.69,6001.35,2714209900,INX,S&P 500,US
